date_key,supplier_id,supplier,supplier_category,carbon_risk_tier,supplier_country,target_status,emissions_tco2e,spend_usd,supplier_intensity_tco2e_per_musd,data_quality_score
202402,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,2229.72,1493807.31,1492.64,0.76
202402,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,132.53,201643.44,657.25,0.95
202402,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,612.71,194796.07,3145.39,0.87
202402,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,52.27,40683.59,1284.79,0.79
202402,S013,Mekong Transport,Facilities,Medium,India,Supplier target,1050.71,621440.29,1690.77,0.76
202402,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,1622.09,396420.26,4091.84,0.9
202402,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,4680.77,1857556.07,2519.85,0.82
202402,S017,Quantum Parts,Energy,High,Mexico,No verified target,627.82,582509.96,1077.78,0.71
202402,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,177.46,151587.32,1170.68,0.74
202402,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,1909.3,1574058.74,1212.98,0.8
202402,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,41.52,71771.09,578.51,0.82
202402,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,92.25,18198.91,5068.98,0.7
202402,S023,Willow Office Supply,Components,High,India,Renewable PPA,438.54,845410.01,518.73,0.73
202402,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,92.45,143770.02,643.04,0.77
202403,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,3201.64,1423386.96,2249.31,0.78
202403,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,708.24,945044.05,749.43,0.9
202403,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,317.34,108832.7,2915.85,0.91
202403,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,192.3,534145.84,360.01,0.76
202403,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,878.84,241778.46,3634.9,0.95
202403,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,1699.75,2284549.74,744.02,0.81
202403,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,1415.75,1276229.86,1109.32,0.91
202403,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,191.57,211410.56,906.15,0.81
202403,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,290.01,130170.85,2227.92,0.87
202403,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,114.67,19772.13,5799.58,0.79
202403,S013,Mekong Transport,Facilities,Medium,India,Supplier target,994.29,270211.58,3679.67,0.76
202403,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,68.72,137259.69,500.66,0.96
202403,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,1995.09,1035851.85,1926.04,0.74
202403,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,727.73,161785.07,4498.13,0.82
202403,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,842.33,343461.48,2452.47,0.7
202403,S023,Willow Office Supply,Components,High,India,Renewable PPA,1886.9,1434155.47,1315.69,0.73
202403,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,282.93,225888.53,1252.52,0.77
202404,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,132.59,53937.01,2458.24,0.78
202404,S002,BlueRiver Logistics,Components,High,China,No verified target,1895.9,1636649.75,1158.4,0.94
202404,S004,Delta Metals,Travel,Low,Germany,No verified target,684.93,235624.26,2906.87,0.64
202404,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,964.85,649784.89,1484.88,0.91
202404,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,1085.83,644736.01,1684.15,0.76
202404,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,977.87,326206.17,2997.71,0.91
202404,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,3018.71,1255002.02,2405.34,0.81
202404,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,497.22,219461.51,2265.64,0.87
202404,S013,Mekong Transport,Facilities,Medium,India,Supplier target,93.2,361762.28,257.63,0.76
202404,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,2380.5,1094452.8,2175.06,0.9
202404,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,119.43,45702.66,2613.2,0.91
202404,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,1025.84,132889.74,7719.48,0.82
202404,S017,Quantum Parts,Energy,High,Mexico,No verified target,305.36,68379.83,4465.64,0.71
202404,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,1307.01,435775.63,2999.27,0.96
202404,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,367.2,379456.04,967.7,0.8
202404,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,225.8,600908.6,375.76,0.82
202404,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,3994.39,1732199.96,2305.96,0.7
202404,S023,Willow Office Supply,Components,High,India,Renewable PPA,1153.74,1127238.51,1023.51,0.73
202405,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,685.51,396474.39,1729.01,0.78
202405,S002,BlueRiver Logistics,Components,High,China,No verified target,2020.06,1478775.68,1366.04,0.94
202405,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,114.0,251029.3,454.13,0.9
202405,S004,Delta Metals,Travel,Low,Germany,No verified target,2473.78,1300371.22,1902.36,0.64
202405,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,1595.05,799444.45,1995.2,0.91
202405,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,714.44,165411.37,4319.17,0.87
202405,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,62.75,125791.35,498.84,0.79
202405,S013,Mekong Transport,Facilities,Medium,India,Supplier target,149.94,162622.95,922.01,0.76
202405,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,1679.13,774703.86,2167.45,0.9
202405,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,311.87,663219.51,470.24,0.91
202405,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,1471.12,703738.84,2090.43,0.82
202405,S017,Quantum Parts,Energy,High,Mexico,No verified target,343.78,87679.71,3920.86,0.71
202405,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,1124.51,984586.52,1142.11,0.96
202405,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,1871.36,1135608.18,1647.89,0.74
202405,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,908.33,869867.3,1044.22,0.8
202405,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,1822.23,755709.69,2411.28,0.7
202405,S023,Willow Office Supply,Components,High,India,Renewable PPA,460.15,918310.39,501.08,0.73
202405,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,620.47,338385.28,1833.62,0.77
202406,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,508.4,90923.7,5591.5,0.78
202406,S002,BlueRiver Logistics,Components,High,China,No verified target,7338.43,2711096.77,2706.81,0.94
202406,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,353.8,387460.97,913.12,0.81
202406,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,323.74,101742.35,3181.96,0.91
202406,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,3064.29,1287822.11,2379.44,0.81
202406,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,835.45,443434.01,1884.05,0.9
202406,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,1938.72,1231033.32,1574.87,0.91
202406,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,2145.88,1169125.03,1835.46,0.82
202406,S017,Quantum Parts,Energy,High,Mexico,No verified target,419.3,278215.89,1507.1,0.71
202406,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,639.92,1545424.26,414.07,0.74
202406,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,598.92,229674.97,2607.69,0.8
202406,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,1794.23,799734.24,2243.53,0.82
202406,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,431.53,399693.07,1079.65,0.7
202406,S023,Willow Office Supply,Components,High,India,Renewable PPA,2060.16,1268852.84,1623.64,0.73
202407,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,128.76,51212.48,2514.23,0.78
202407,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,2263.72,1343465.66,1684.99,0.9
202407,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,1189.67,662805.9,1794.9,0.91
202407,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,541.45,224316.47,2413.78,0.76
202407,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,953.29,370724.15,2571.43,0.81
202407,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,343.77,341366.86,1007.04,0.91
202407,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,556.3,437150.46,1272.56,0.87
202407,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,1384.6,1104635.98,1253.44,0.79
202407,S013,Mekong Transport,Facilities,Medium,India,Supplier target,65.06,85466.84,761.23,0.76
202407,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,830.39,551215.06,1506.47,0.9
202407,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,111.27,38477.32,2891.83,0.91
202407,S017,Quantum Parts,Energy,High,Mexico,No verified target,1107.3,648414.38,1707.7,0.71
202407,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,3439.11,1531988.04,2244.87,0.74
202407,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,134.65,160582.59,838.51,0.8
202407,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,760.35,703105.09,1081.42,0.82
202407,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,1631.66,1762871.78,925.57,0.7
202408,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,326.53,170189.14,1918.63,0.78
202408,S002,BlueRiver Logistics,Components,High,China,No verified target,2704.0,1196121.91,2260.64,0.94
202408,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,169.9,315082.69,539.22,0.9
202408,S004,Delta Metals,Travel,Low,Germany,No verified target,960.52,600689.04,1599.03,0.64
202408,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,1519.77,1316075.99,1154.77,0.91
202408,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,541.94,819568.22,661.25,0.95
202408,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,281.19,599488.82,469.05,0.81
202408,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,936.91,358516.28,2613.3,0.91
202408,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1421.46,551064.92,2579.48,0.81
202408,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,178.0,326889.74,544.53,0.79
202408,S013,Mekong Transport,Facilities,Medium,India,Supplier target,1301.04,1021072.58,1274.19,0.76
202408,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,2419.94,1154455.43,2096.17,0.9
202408,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,488.9,209439.1,2334.33,0.82
202408,S017,Quantum Parts,Energy,High,Mexico,No verified target,209.72,43209.62,4853.55,0.71
202408,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,60.2,60407.52,996.56,0.96
202408,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,224.84,62594.81,3591.99,0.74
202408,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,2084.52,1610870.72,1294.03,0.8
202408,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,403.55,140376.05,2874.78,0.82
202408,S023,Willow Office Supply,Components,High,India,Renewable PPA,269.51,78535.27,3431.71,0.73
202409,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,249.61,107201.79,2328.41,0.78
202409,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,240.52,303428.8,792.67,0.9
202409,S004,Delta Metals,Travel,Low,Germany,No verified target,438.57,200817.55,2183.92,0.64
202409,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,503.37,770255.37,653.51,0.81
202409,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,422.24,325747.94,1296.22,0.91
202409,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1650.61,990071.72,1667.16,0.81
202409,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,387.87,959828.74,404.1,0.87
202409,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,422.05,989501.35,426.53,0.79
202409,S013,Mekong Transport,Facilities,Medium,India,Supplier target,735.44,615003.12,1195.83,0.76
202409,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,5298.62,3443749.68,1538.62,0.9
202409,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,138.18,74540.97,1853.75,0.91
202409,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,1093.64,731528.18,1495.01,0.82
202409,S017,Quantum Parts,Energy,High,Mexico,No verified target,459.28,123536.39,3717.77,0.71
202409,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,463.22,238372.85,1943.26,0.96
202409,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,749.27,495788.16,1511.27,0.74
202409,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,675.86,452095.54,1494.95,0.8
202409,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,584.66,309629.11,1888.26,0.82
202409,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,113.73,24389.86,4663.0,0.7
202409,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,1355.42,942469.33,1438.16,0.77
202410,S002,BlueRiver Logistics,Components,High,China,No verified target,235.27,75326.03,3123.36,0.94
202410,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,34.46,7318.49,4708.62,0.9
202410,S004,Delta Metals,Travel,Low,Germany,No verified target,561.43,1342346.82,418.25,0.64
202410,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,587.58,157526.44,3730.04,0.76
202410,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,3029.54,1014391.19,2986.56,0.95
202410,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,50.69,45498.45,1114.1,0.81
202410,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,574.06,450545.47,1274.14,0.91
202410,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,116.44,60921.98,1911.3,0.81
202410,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,336.17,250112.26,1344.08,0.87
202410,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,238.75,127242.28,1876.34,0.79
202410,S013,Mekong Transport,Facilities,Medium,India,Supplier target,185.7,217283.09,854.65,0.76
202410,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,482.86,138675.98,3481.93,0.9
202410,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,621.34,212496.24,2924.0,0.91
202410,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,959.57,429249.41,2235.46,0.82
202410,S017,Quantum Parts,Energy,High,Mexico,No verified target,1284.95,850564.69,1510.7,0.71
202410,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,1901.48,1170242.77,1624.86,0.96
202410,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,989.82,928112.07,1066.49,0.74
202410,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,149.99,78451.63,1911.88,0.8
202410,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,805.22,450802.45,1786.19,0.82
202410,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,93.39,114989.61,812.16,0.7
202410,S023,Willow Office Supply,Components,High,India,Renewable PPA,192.55,32505.26,5923.66,0.73
202410,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,368.2,862582.89,426.86,0.77
202411,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,1410.9,797801.72,1768.48,0.78
202411,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,266.12,137210.0,1939.51,0.9
202411,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,1572.65,901720.9,1744.05,0.91
202411,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,565.96,355142.06,1593.62,0.76
202411,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,984.47,506212.76,1944.78,0.95
202411,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,72.69,48333.51,1503.93,0.81
202411,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,224.8,348764.66,644.56,0.91
202411,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1300.42,592740.32,2193.91,0.81
202411,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,1008.65,1267581.88,795.73,0.87
202411,S013,Mekong Transport,Facilities,Medium,India,Supplier target,603.54,336304.75,1794.62,0.76
202411,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,129.34,69257.91,1867.51,0.9
202411,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,92.15,178656.67,515.79,0.91
202411,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,1677.82,1024437.17,1637.8,0.82
202411,S017,Quantum Parts,Energy,High,Mexico,No verified target,882.32,341062.32,2586.98,0.71
202411,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,1764.35,1204651.94,1464.61,0.96
202411,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,1418.37,722268.52,1963.77,0.74
202411,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,668.74,355682.08,1880.16,0.8
202411,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,30.62,8607.36,3557.42,0.82
202411,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,760.72,1003232.16,758.27,0.7
202411,S023,Willow Office Supply,Components,High,India,Renewable PPA,305.04,132292.97,2305.79,0.73
202412,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,2370.81,1459366.22,1624.55,0.78
202412,S002,BlueRiver Logistics,Components,High,China,No verified target,900.82,538326.26,1673.37,0.94
202412,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,1853.21,1870863.88,990.56,0.9
202412,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,143.86,44908.57,3203.4,0.91
202412,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,594.48,230743.61,2576.37,0.76
202412,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,314.44,308773.57,1018.35,0.95
202412,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,448.37,379616.27,1181.11,0.81
202412,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,96.65,36738.48,2630.76,0.91
202412,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1362.84,827390.27,1647.15,0.81
202412,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,510.53,244025.61,2092.12,0.87
202412,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,564.36,546231.6,1033.19,0.79
202412,S013,Mekong Transport,Facilities,Medium,India,Supplier target,43.23,23981.04,1802.67,0.76
202412,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,537.81,324868.12,1655.47,0.9
202412,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,141.39,75634.25,1869.39,0.91
202412,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,2525.18,2296239.8,1099.7,0.82
202412,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,599.25,420692.43,1424.44,0.96
202412,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,473.62,539308.82,878.2,0.82
202412,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,1377.92,822957.63,1674.35,0.7
202412,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,350.47,127689.67,2744.7,0.77
202501,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,2258.24,1615257.98,1398.07,0.78
202501,S002,BlueRiver Logistics,Components,High,China,No verified target,2207.59,1291900.44,1708.79,0.94
202501,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,553.38,707022.42,782.69,0.9
202501,S004,Delta Metals,Travel,Low,Germany,No verified target,142.06,278335.27,510.39,0.64
202501,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,39.97,177581.92,225.08,0.76
202501,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,180.66,67035.88,2694.97,0.95
202501,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,394.26,238758.14,1651.29,0.81
202501,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,327.62,179502.03,1825.16,0.91
202501,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,93.69,65296.32,1434.84,0.81
202501,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,2333.43,1470251.04,1587.1,0.87
202501,S013,Mekong Transport,Facilities,Medium,India,Supplier target,141.3,210869.79,670.08,0.76
202501,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,2625.01,981480.83,2674.54,0.91
202501,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,913.59,371207.12,2461.13,0.82
202501,S017,Quantum Parts,Energy,High,Mexico,No verified target,1385.0,540773.94,2561.14,0.71
202501,S019,Solaris Power,Logistics,Medium,Japan,SBTi committed,83.45,57616.42,1448.37,0.74
202501,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,139.14,459630.67,302.72,0.8
202501,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,870.99,522437.57,1667.17,0.82
202501,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,1411.68,1023919.06,1378.7,0.7
202501,S023,Willow Office Supply,Components,High,India,Renewable PPA,234.05,114287.36,2047.91,0.73
202502,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,1062.22,851173.57,1247.95,0.78
202502,S002,BlueRiver Logistics,Components,High,China,No verified target,260.36,68672.43,3791.33,0.94
202502,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,1245.73,493512.51,2524.21,0.9
202502,S004,Delta Metals,Travel,Low,Germany,No verified target,186.32,294786.7,632.05,0.64
202502,S005,EastGrid Energy,Logistics,Medium,Netherlands,No verified target,1075.21,1196551.88,898.59,0.91
202502,S006,Forest Fiber Co,Facilities,Medium,United States,Renewable PPA,845.34,524922.2,1610.41,0.76
202502,S007,GreenPulse Freight,Materials,High,Mexico,Supplier target,1263.97,1275966.3,990.6,0.95
202502,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,202.72,54580.13,3714.17,0.81
202502,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,316.72,283189.1,1118.4,0.91
202502,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1525.61,1271291.32,1200.05,0.81
202502,S011,Keystone Plastics,Travel,Medium,Thailand,Supplier target,997.5,1013019.15,984.68,0.87
202502,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,1511.15,1660116.68,910.27,0.79
202502,S014,Nova Textiles,Materials,High,Germany,Renewable PPA,220.8,273999.75,805.84,0.9
202502,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,72.17,68949.19,1046.71,0.91
202502,S017,Quantum Parts,Energy,High,Mexico,No verified target,96.06,163921.66,586.01,0.71
202502,S018,RiverStone Cement,Travel,Medium,Malaysia,SBTi committed,2311.62,1016250.39,2274.66,0.96
202502,S020,Terra Warehousing,Facilities,Low,Vietnam,Supplier target,159.36,554733.87,287.27,0.8
202502,S021,Urban Mobility,Materials,Medium,Thailand,No verified target,1802.9,867728.69,2077.72,0.82
202502,S022,Vector Metals,Packaging,Medium,China,Renewable PPA,479.77,441336.16,1087.09,0.7
202502,S023,Willow Office Supply,Components,High,India,Renewable PPA,71.61,15004.54,4772.56,0.73
202502,S024,Zenith Packaging,Energy,Low,Germany,Renewable PPA,153.44,111096.25,1381.14,0.77
202503,S001,Astra Materials,Packaging,Medium,Thailand,SBTi committed,96.21,32169.64,2990.71,0.78
202503,S002,BlueRiver Logistics,Components,High,China,No verified target,882.95,488935.4,1805.86,0.94
202503,S003,Canopy Packaging,Energy,Medium,India,Renewable PPA,698.91,411473.08,1698.56,0.9
202503,S004,Delta Metals,Travel,Low,Germany,No verified target,1735.55,740026.4,2345.25,0.64
202503,S008,Harbor Components,Packaging,Low,Malaysia,Renewable PPA,573.5,324484.14,1767.42,0.81
202503,S009,Indigo Chemicals,Components,Medium,Japan,Supplier target,340.34,376565.79,903.8,0.91
202503,S010,Jade Electronics,Energy,High,Vietnam,Supplier target,1838.13,1041317.45,1765.2,0.81
202503,S012,Lumen Utilities,Logistics,Low,China,Renewable PPA,60.97,16434.61,3709.85,0.79
202503,S015,Orchid Facilities,Packaging,Medium,Netherlands,Renewable PPA,1099.74,488599.23,2250.8,0.91
202503,S016,Pacific Cold Chain,Components,High,United States,Renewable PPA,192.05,690408.68,278.17,0.82
